Sample	Perfect Index Reads	Mismatched Index Reads
1-144_1_HIPL_chow	26073166.0	518667.0
1-1_Chow_PFC_left	58780818.0	430236.0
10-13_Highfatdiet_SC_left	21648230.0	1199748.0
10-144_5_Hyp_fast	47858525.0	1018773.0
11-144_2_ZIL_chow	12160503.0	195214.0
11-5_Chow_PFC_right	53781742.0	478321.0
12-12_Fasting_SC_right	36116074.0	308475.0
12-143_5_Hyp_fast	16903983.0	271487.0
13-143_3_SCL_fast	65349058.0	819905.0
13-18_Highfatdiet_Hyp_both	36548691.0	288928.0
14-143_5_SCL_fast	91560775.0	1588748.0
14-2_Chow_IC_left	38867780.0	360982.0
15-144_4_HIPL_fast	43733830.0	889392.0
15-5_Chow_IC_right	36054072.0	281728.0
16-11_Fasting_IC_right	39532359.0	504004.0
16-142_4_SCL_fast	27376255.0	743574.0
17-145_5_Hyp_fast	75794908.0	1327082.0
17-1_Chow_Hip_left	39553602.0	320020.0
18-143_4_ZIL_fast	42955854.0	735832.0
18-15_Highfatdiet_Hyp_both	46999264.0	384955.0
19-142_2_Hyp_chow	30434912.0	412133.0
19-7_Fasting_IC_left	38749745.0	379775.0
2-10_Fasting_IC_right	43296313.0	329755.0
2-145_1_Hyp_chow	23461979.0	777282.0
20-142_3_ZIL_chow	47811014.0	656855.0
20-9_Fasting_SC_left	38281449.0	267839.0
21-142_2_SCL_chow	859216.0	14237.0
21-1_Chow_SC_left	73063980.0	629063.0
22-145_3_ICL_fast	38103219.0	502243.0
22-6_Chow_IC_right	47218095.0	314394.0
23-12_Fasting_Hyp_both	609647.0	39502.0
23-145_2_ICL_chow	49231141.0	550392.0
24-10_Fasting_Hyp_both	56779500.0	528905.0
24-144_2_ICL_chow	75815314.0	1208153.0
25-145_1_ICL_chow	59956207.0	913701.0
25-4_Chow_Hyp_both	43664823.0	360678.0
26-144_2_Hyp_chow	38584894.0	960597.0
26-17_Highfatdiet_Hyp_both	39832991.0	473758.0
27-143_2_HIPL_chow	25683147.0	300484.0
27-15_Highfatdiet_Hip_left	44657171.0	292902.0
28-143_2_SCL_chow	39973095.0	634772.0
28-14_Highfatdiet_Hyp_both	40083579.0	300481.0
29-142_3_ICL_chow	61930146.0	1094308.0
29-17_Highfatdiet_IC_right	42797205.0	429370.0
3-10_Fasting_Hip_right	36135346.0	312638.0
3-143_4_SCL_fast	63531459.0	726910.0
30-11_Fasting_Hyp_both	48809552.0	410640.0
30-142_2_ZIL_chow	59906939.0	1111169.0
31-143_1_Hyp_chow	30892907.0	486824.0
31-6_Chow_SC_right	53716527.0	449592.0
32-144_3_HIPL_chow	24990292.0	500027.0
32-8_Fasting_IC_left	39996186.0	400037.0
33-142_5_HIPL_fast	1389197.0	31715.0
33-17_Highfatdiet_Hip_right	77059450.0	532553.0
34-143_3_ZIL_fast	86926870.0	1206341.0
34-3_Chow_PFC_left	48271871.0	335767.0
35-11_Fasting_Hip_right	399806.0	21763.0
35-145_2_ZIL_chow	37712683.0	737538.0
36-144_5_SCL_fast	10787328.0	295740.0
37-144_4_Hyp_fast	40067663.0	599236.0
37-9_Fasting_Hip_left	47764482.0	400618.0
38-12_Fasting_IC_right	41576633.0	413400.0
38-144_2_SCL_chow	58930936.0	1061579.0
39-142_5_ZIL_fast	47117549.0	679012.0
39-8_Fasting_Hip_left	42992806.0	368280.0
4-144_4_ICL_fast	19722833.0	433006.0
4-3_Chow_Hip_left	42841624.0	378167.0
40-143_4_Hyp_fast	45183831.0	629067.0
