	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_Hip_right_S3_R1_001 - polya	0.006129282760879175	0.011358652923025866	0.015575621411598512	0.020152006212469802	0.02415497109524631	0.028122268710390128	0.03354918066250249	0.040183292442182814	0.05080939456075266	0.06392123086972383	0.06929052646642953	0.07486559476101613	0.08064094848154016	0.08632576221499658	0.09254009769099987	0.09839776049067625	0.10445022144434656	0.11031337151596643	0.11611341796023615	0.12169397352676625	0.12749676360700773	0.1334257609419495	0.1388307238062879	0.14461979570667063	0.1503183276199858	0.15612386133619902	0.1619705495919884	0.16746879607936616	0.1734389479538841	0.178989323524725	0.18493478267549723	0.19078970183920185	0.19663090282304777	0.20226633110901276	0.20775634668847529	0.21338903133846854	0.2194799031957433	0.2257930095667294	0.2322021431967266	0.23851250593174098
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_Hip_right_S3_R2_001 - polya	0.024459514688110046	0.03417747330003218	0.03864411266203365	0.04371709557379086	0.04825232583508597	0.05183002714224194	0.05614576652579742	0.06381971633876925	0.07362272766581548	0.08320899175109384	0.08672633306687141	0.09086647974823518	0.09618090262550598	0.10116883282213908	0.10654361569078828	0.11209399126162918	0.11840435399664355	0.12382303504084066	0.12923348517712255	0.13450126624287367	0.1392861673775976	0.14454846117140527	0.14996714221560237	0.15674941033775694	0.16239581316760895	0.16713407249081322	0.17170222638376925	0.17631976572421673	0.18133787591653902	0.185949927985043	0.19100096180902626	0.19597243018982888	0.2006036877101351	0.20497978708506895	0.2093476555520876	0.2141243257788963	0.2191534105151056	0.22419895706714532	0.22917591271989146	0.2337303484329888
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_Hip_right_S3_R2_001 - polyg	0.15399205618615286	0.15451883429272795	0.1546532724553435	0.15478496698198727	0.15490019969280056	0.15504286876333132	0.15514163965831415	0.15546264506700838	0.15668905034637856	0.15733654843571046	0.15851356826758922	0.1594134808663217	0.1636935529822445	0.1643273328917177	0.16460992739680746	0.16506262733214544	0.16532876002140476	0.16557568725886185	0.1658034090445167	0.16604210537405856	0.16629177624748737	0.16656613984466193	0.16680209253823203	0.16704353250374562	0.1673508197325811	0.1676169524218404	0.16786387965929747	0.16819311597590691	0.1685360704723751	0.16888176860481502	0.16931251945237905	0.169625293953158	0.16996001754171094	0.1703441265777553	0.17072823561379966	0.17101631739083292	0.17140591369882077	0.17183940818235655	0.17241557173642305	0.17315635344879432
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_Hyp_both_S24_R1_001 - illumina_universal_adapter	0.006637769800084298	0.0067930698821577745	0.00843855277423966	0.01430854688766857	0.019272914679792606	0.02283783678851296	0.02592638898255849	0.028800312973288996	0.0310495467462408	0.035127482609226345	0.03813751228986394	0.040334397720543785	0.04274242146505386	0.0448171607637658	0.04676277415154025	0.04860020096528598	0.050301522089124626	0.051824858849238604	0.053304571990792624	0.05456267715006202	0.055618368719213176	0.056621711946092376	0.057687873183697926	0.05876275914501546	0.05977482709560666	0.060741526482895485	0.06176231915719867	0.06308673221667921	0.06463449820318677	0.06776492907104988	0.0699740291149265	0.07268392829987154	0.07690669457647617	0.08009296367609603	0.08359332282934763	0.08729958546220228	0.09187832046625621	0.0965373229284605	0.10207752248557607	0.10836630333718064
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_Hyp_both_S24_R1_001 - polya	0.006686628252871459	0.012223337920502238	0.01699227190147763	0.021902546406587307	0.025666392215941098	0.02933426606446297	0.034075280929559984	0.04047922813416287	0.050872119019888966	0.06389464163240977	0.06889041842989697	0.07366458724509957	0.07935659699480381	0.08477814030943628	0.09123443585631114	0.0971637580909816	0.10306167132028889	0.1086646888881308	0.11406354792111209	0.1196857598811204	0.12525038866462956	0.1313437357050855	0.1367199104564156	0.14252708655911817	0.14794339503952345	0.15334574396198952	0.15878299177930358	0.16410681818836173	0.1696557424691893	0.1755065421904518	0.181294523900988	0.1869394201426475	0.19234874884408318	0.1979133776275923	0.20351814014017663	0.20912115770801856	0.21481316745772283	0.22088906505075478	0.2272441538025705	0.23305830968424265
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
