Sample	Top over-represented sequence	Sum of remaining over-represented sequences
10_Fasting_Hip_right_S3_R1_001	0.1664673689496791	0.32224278851746646
10_Fasting_Hip_right_S3_R2_001	0.0	0.0
10_Fasting_Hyp_both_S24_R1_001	0.5156870096105449	0.8353608864179697
10_Fasting_Hyp_both_S24_R2_001	0.20881230248861404	0.4092820241638202
10_Fasting_IC_right_S2_R1_001	0.1977395716707726	0.26818827678900603
10_Fasting_IC_right_S2_R2_001	0.13031887265201164	0.0
10_Fasting_PFC_right_S62_R1_001	0.0	0.0
10_Fasting_PFC_right_S62_R2_001	0.0	0.0
10_Fasting_SC_right_S88_R1_001	0.0	0.0
10_Fasting_SC_right_S88_R2_001	0.19816581409281536	0.0
11_Fasting_Hip_right_S35_R1_001	38.32871961648034	16.530390042911122
11_Fasting_Hip_right_S35_R2_001	1.6915380400361506	1.4718824201969312
11_Fasting_Hyp_both_S30_R1_001	0.2500538803261881	0.7035547524885721
11_Fasting_Hyp_both_S30_R2_001	0.21511293576424892	0.647238434177583
11_Fasting_IC_right_S16_R1_001	0.1825140810118042	0.3720542747601724
11_Fasting_IC_right_S16_R2_001	0.14486330838792724	0.12327543338539518
11_Fasting_PFC_right_S82_R1_001	0.2850534136391085	0.10876223277852665
11_Fasting_PFC_right_S82_R2_001	0.18372283325405825	0.14108001182029084
11_Fasting_SC_right_S40_R1_001	0.1155440207845746	0.10598021199229563
11_Fasting_SC_right_S40_R2_001	0.13578252753336484	0.10917661657295588
12_Fasting_Hip_right_S77_R1_001	0.17473610921821656	0.3435530902506915
12_Fasting_Hip_right_S77_R2_001	0.19073010808579657	0.15017790363042807
12_Fasting_Hyp_both_S23_R1_001	29.42729635260934	13.236406433653904
12_Fasting_Hyp_both_S23_R2_001	0.9349163289167819	0.8178399720249128
12_Fasting_IC_right_S37_R1_001	0.3131052552399756	0.3388685119633033
12_Fasting_IC_right_S37_R2_001	0.16484864396272325	0.11833522493302162
12_Fasting_PFC_right_S52_R1_001	0.16136677611785039	0.2692793205597404
12_Fasting_PFC_right_S52_R2_001	0.19069450956563308	0.2654176532397866
12_Fasting_SC_right_S12_R1_001	0.5709528483111761	0.6301629156753594
