Sample	Unique Reads	Duplicate Reads
10_Fasting_Hip_right_S3_R1_001	24932131.0	11515853.0
10_Fasting_Hip_right_S3_R2_001	24934201.0	11513783.0
10_Fasting_Hyp_both_S24_R1_001	33851545.0	23456860.0
10_Fasting_Hyp_both_S24_R2_001	34009124.0	23299281.0
10_Fasting_IC_right_S2_R1_001	28888422.0	14737646.0
10_Fasting_IC_right_S2_R2_001	29015592.0	14610476.0
10_Fasting_PFC_right_S62_R1_001	29075985.0	16054663.0
10_Fasting_PFC_right_S62_R2_001	28847662.0	16282986.0
10_Fasting_SC_right_S88_R1_001	21160.0	539.0
10_Fasting_SC_right_S88_R2_001	21170.0	529.0
11_Fasting_Hip_right_S35_R1_001	147563.0	274006.0
11_Fasting_Hip_right_S35_R2_001	316782.0	104787.0
11_Fasting_Hyp_both_S30_R1_001	29339796.0	19880396.0
11_Fasting_Hyp_both_S30_R2_001	29065918.0	20154274.0
11_Fasting_IC_right_S16_R1_001	26482745.0	13553618.0
11_Fasting_IC_right_S16_R2_001	26454462.0	13581901.0
11_Fasting_PFC_right_S82_R1_001	25989605.0	14378268.0
11_Fasting_PFC_right_S82_R2_001	26091760.0	14276113.0
11_Fasting_SC_right_S40_R1_001	27570181.0	15728468.0
11_Fasting_SC_right_S40_R2_001	27606808.0	15691841.0
12_Fasting_Hip_right_S77_R1_001	49783942.0	38455404.0
12_Fasting_Hip_right_S77_R2_001	49908625.0	38330721.0
12_Fasting_Hyp_both_S23_R1_001	310863.0	338286.0
12_Fasting_Hyp_both_S23_R2_001	508574.0	140575.0
12_Fasting_IC_right_S37_R1_001	26672872.0	15317161.0
12_Fasting_IC_right_S37_R2_001	26460481.0	15529552.0
12_Fasting_PFC_right_S52_R1_001	25503907.0	16524571.0
12_Fasting_PFC_right_S52_R2_001	25588079.0	16440399.0
12_Fasting_SC_right_S12_R1_001	23452312.0	12972237.0
12_Fasting_SC_right_S12_R2_001	23661069.0	12763480.0
13_Highfatdiet_Hip_left_S73_R1_001	29836640.0	16509510.0
13_Highfatdiet_Hip_left_S73_R2_001	29585939.0	16760211.0
13_Highfatdiet_Hyp_both_S57_R1_001	28197127.0	15378386.0
13_Highfatdiet_Hyp_both_S57_R2_001	28039017.0	15536496.0
13_Highfatdiet_IC_left_S81_R1_001	26975939.0	14415707.0
13_Highfatdiet_IC_left_S81_R2_001	27116735.0	14274911.0
13_Highfatdiet_PFC_left_S7_R1_001	28515937.0	16385702.0
13_Highfatdiet_PFC_left_S7_R2_001	28621510.0	16280129.0
13_Highfatdiet_SC_left_S10_R1_001	16339298.0	6508680.0
13_Highfatdiet_SC_left_S10_R2_001	16350901.0	6497077.0
142_2_HIPL_chow_S67_R1_001	37846737.0	26160175.0
