Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
10_Fasting_Hip_right_S3	33602427.0	1328963.0	89462.0	1094986.0	332146.0
10_Fasting_Hyp_both_S24	50203875.0	3016757.0	170209.0	3413550.0	504014.0
10_Fasting_IC_right_S2	39598963.0	1658211.0	117025.0	1828553.0	423316.0
10_Fasting_PFC_right_S62	41952331.0	1500548.0	112594.0	1190796.0	374379.0
10_Fasting_SC_right_S88	6857.0	363.0	20.0	14411.0	48.0
11_Fasting_Hip_right_S35	129800.0	5971.0	353.0	284180.0	1265.0
11_Fasting_Hyp_both_S30	43223503.0	2818176.0	140848.0	2638879.0	398786.0
11_Fasting_IC_right_S16	36214547.0	1678912.0	112048.0	1634298.0	396558.0
11_Fasting_PFC_right_S82	36444498.0	1678945.0	105280.0	1775898.0	363252.0
11_Fasting_SC_right_S40	39247304.0	1905647.0	119079.0	1649876.0	376743.0
12_Fasting_Hip_right_S77	79779264.0	3606624.0	216105.0	3896787.0	740566.0
12_Fasting_Hyp_both_S23	286098.0	13185.0	860.0	346150.0	2856.0
12_Fasting_IC_right_S37	37905548.0	1700235.0	115135.0	1895823.0	373292.0
12_Fasting_PFC_right_S52	37651894.0	2026026.0	112142.0	1906020.0	332396.0
12_Fasting_SC_right_S12	32355725.0	1744636.0	105158.0	1876520.0	342510.0
13_Highfatdiet_Hip_left_S73	42644868.0	1784496.0	113808.0	1395106.0	407872.0
13_Highfatdiet_Hyp_both_S57	39665533.0	1722666.0	109219.0	1699071.0	379024.0
13_Highfatdiet_IC_left_S81	37455753.0	1654491.0	111687.0	1776351.0	393364.0
13_Highfatdiet_PFC_left_S7	40634246.0	2115468.0	124980.0	1641287.0	385658.0
13_Highfatdiet_SC_left_S10	20766641.0	945629.0	62133.0	847439.0	226136.0
142_2_HIPL_chow_S67	55615746.0	2680617.0	131317.0	5220933.0	358299.0
142_2_Hyp_chow_S19	6630434.0	6128358.0	54090.0	18015654.0	18509.0
142_2_ICL_chow_S27	30490830.0	1431790.0	78228.0	3757316.0	237531.0
142_2_SCL_chow_S21	395937.0	82145.0	841.0	394181.0	349.0
142_2_ZIL_chow_S6	52650701.0	2799328.0	124060.0	5151067.0	292952.0
142_3_HIPL_chow_S59	9044837.0	454577.0	19207.0	567378.0	52685.0
142_3_Hyp_chow_S38	44704314.0	2947747.0	110715.0	7849060.0	217719.0
142_3_ICL_chow_S5	52976576.0	2732843.0	136218.0	6800653.0	378164.0
142_3_SCL_chow_S26	60767796.0	3241672.0	158210.0	6793605.0	421475.0
142_3_ZIL_chow_S20	14640166.0	3459833.0	49241.0	30284705.0	33924.0
142_4_HIPL_fast_S6	12555649.0	2673528.0	29368.0	14081708.0	8805.0
142_4_Hyp_fast_S53	96205250.0	7383506.0	235826.0	8443436.0	382769.0
142_4_ICL_fast_S19	43293295.0	2166781.0	117069.0	5041404.0	300447.0
