Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
10_Fasting_Hip_right_S3	13538394.0	19855611.0	208422.0	1328963.0	1516594.0
10_Fasting_Hyp_both_S24	22501882.0	27339586.0	362407.0	3016757.0	4087773.0
10_Fasting_IC_right_S2	15563227.0	23772253.0	263483.0	1658211.0	2368894.0
10_Fasting_PFC_right_S62	20151928.0	21507406.0	292997.0	1500548.0	1677769.0
10_Fasting_SC_right_S88	3006.0	3800.0	51.0	363.0	14479.0
11_Fasting_Hip_right_S35	55260.0	73680.0	860.0	5971.0	285798.0
11_Fasting_Hyp_both_S30	21188339.0	21673416.0	361748.0	2818176.0	3178513.0
11_Fasting_IC_right_S16	15219096.0	20750863.0	244588.0	1678912.0	2142904.0
11_Fasting_PFC_right_S82	15966788.0	20231855.0	245855.0	1678945.0	2244430.0
11_Fasting_SC_right_S40	17871901.0	21094729.0	280674.0	1905647.0	2145698.0
12_Fasting_Hip_right_S77	34958851.0	44291636.0	528777.0	3606624.0	4853458.0
12_Fasting_Hyp_both_S23	122463.0	161821.0	1814.0	13185.0	349866.0
12_Fasting_IC_right_S37	16202910.0	21427685.0	274953.0	1700235.0	2384250.0
12_Fasting_PFC_right_S52	19051346.0	18307707.0	292841.0	2026026.0	2350558.0
12_Fasting_SC_right_S12	14089092.0	18037704.0	228929.0	1744636.0	2324188.0
13_Highfatdiet_Hip_left_S73	18467337.0	23896312.0	281219.0	1784496.0	1916786.0
13_Highfatdiet_Hyp_both_S57	16581348.0	22827185.0	257000.0	1722666.0	2187314.0
13_Highfatdiet_IC_left_S81	15559780.0	21642027.0	253946.0	1654491.0	2281402.0
13_Highfatdiet_PFC_left_S7	18366864.0	21980806.0	286576.0	2115468.0	2151925.0
13_Highfatdiet_SC_left_S10	8566458.0	12063091.0	137092.0	945629.0	1135708.0
142_2_HIPL_chow_S67	28527223.0	26666351.0	422172.0	2680617.0	5710549.0
142_2_Hyp_chow_S19	4540889.0	1462373.0	627172.0	6128358.0	18088253.0
142_2_ICL_chow_S27	14186881.0	16093840.0	210109.0	1431790.0	4073075.0
142_2_SCL_chow_S21	355628.0	32384.0	7925.0	82145.0	395371.0
142_2_ZIL_chow_S6	31038793.0	21150890.0	461018.0	2799328.0	5568079.0
142_3_HIPL_chow_S59	4910541.0	4059975.0	74321.0	454577.0	639270.0
142_3_Hyp_chow_S38	28540008.0	15721096.0	443210.0	2947747.0	8177494.0
142_3_ICL_chow_S5	27646870.0	24902347.0	427359.0	2732843.0	7315035.0
142_3_SCL_chow_S26	31355104.0	28926576.0	486116.0	3241672.0	7373290.0
142_3_ZIL_chow_S20	11669423.0	2776418.0	194325.0	3459833.0	30367870.0
