Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
10_Fasting_Hip_right_S3	740640.0	32854010.0	7777.0	1328963.0	1516594.0
10_Fasting_Hyp_both_S24	1216446.0	48973395.0	14034.0	3016757.0	4087773.0
10_Fasting_IC_right_S2	936471.0	38652586.0	9906.0	1658211.0	2368894.0
10_Fasting_PFC_right_S62	997562.0	40943531.0	11238.0	1500548.0	1677769.0
10_Fasting_SC_right_S88	149.0	6703.0	5.0	363.0	14479.0
11_Fasting_Hip_right_S35	2889.0	126879.0	32.0	5971.0	285798.0
11_Fasting_Hyp_both_S30	1164976.0	42045123.0	13404.0	2818176.0	3178513.0
11_Fasting_IC_right_S16	861887.0	35343075.0	9585.0	1678912.0	2142904.0
11_Fasting_PFC_right_S82	821582.0	35613247.0	9669.0	1678945.0	2244430.0
11_Fasting_SC_right_S40	975570.0	38260112.0	11622.0	1905647.0	2145698.0
12_Fasting_Hip_right_S77	1767594.0	77992274.0	19396.0	3606624.0	4853458.0
12_Fasting_Hyp_both_S23	6275.0	279763.0	60.0	13185.0	349866.0
12_Fasting_IC_right_S37	949520.0	36945513.0	10515.0	1700235.0	2384250.0
12_Fasting_PFC_right_S52	906818.0	36734320.0	10756.0	2026026.0	2350558.0
12_Fasting_SC_right_S12	782939.0	31563808.0	8978.0	1744636.0	2324188.0
13_Highfatdiet_Hip_left_S73	959606.0	41674275.0	10987.0	1784496.0	1916786.0
13_Highfatdiet_Hyp_both_S57	851976.0	38804471.0	9086.0	1722666.0	2187314.0
13_Highfatdiet_IC_left_S81	914199.0	36531428.0	10126.0	1654491.0	2281402.0
13_Highfatdiet_PFC_left_S7	909445.0	39714165.0	10636.0	2115468.0	2151925.0
13_Highfatdiet_SC_left_S10	491643.0	20269659.0	5339.0	945629.0	1135708.0
142_2_HIPL_chow_S67	1375041.0	54220803.0	19902.0	2680617.0	5710549.0
142_2_Hyp_chow_S19	329346.0	6298155.0	2933.0	6128358.0	18088253.0
142_2_ICL_chow_S27	746239.0	29734327.0	10264.0	1431790.0	4073075.0
142_2_SCL_chow_S21	11165.0	384522.0	250.0	82145.0	395371.0
142_2_ZIL_chow_S6	1423634.0	51206435.0	20632.0	2799328.0	5568079.0
142_3_HIPL_chow_S59	241242.0	8800508.0	3087.0	454577.0	639270.0
142_3_Hyp_chow_S38	1374758.0	43309866.0	19690.0	2947747.0	8177494.0
142_3_ICL_chow_S5	1393177.0	51563233.0	20166.0	2732843.0	7315035.0
142_3_SCL_chow_S26	1616546.0	59127334.0	23916.0	3241672.0	7373290.0
142_3_ZIL_chow_S20	404286.0	14228718.0	7162.0	3459833.0	30367870.0
142_4_HIPL_fast_S6	513120.0	12036451.0	6078.0	2673528.0	14119881.0
142_4_Hyp_fast_S53	3179360.0	92977856.0	48034.0	7383506.0	9062031.0
142_4_ICL_fast_S19	1134788.0	42140725.0	17782.0	2166781.0	5458920.0
142_4_SCL_fast_S16	290248.0	8073173.0	3762.0	1958571.0	17794075.0
142_4_ZIL_fast_S20	1155332.0	42452821.0	18139.0	2647095.0	8383679.0
142_5_HIPL_fast_S9	29739.0	1146423.0	391.0	55626.0	188733.0
142_5_Hyp_fast_S69	1578214.0	51942343.0	24164.0	3859233.0	5936085.0
142_5_ICL_fast_S31	1813327.0	61839652.0	24685.0	3261194.0	5731790.0
142_5_SCL_fast_S64	593516.0	22848724.0	7544.0	1161906.0	3494987.0
142_5_ZIL_fast_S15	1098021.0	38228319.0	17666.0	2460517.0	5992038.0
143_1_HIPL_chow_S9	71928.0	1175252.0	652.0	248579.0	2949035.0
143_1_Hyp_chow_S7	825300.0	26102733.0	12218.0	1771052.0	2668428.0
143_1_ICL_chow_S44	3565980.0	126891427.0	50650.0	6500405.0	11488967.0
