Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
10_Fasting_Hip_right_S3	13457670.0	19526852.0	617905.0	1328963.0	1516594.0
10_Fasting_Hyp_both_S24	22383543.0	26793250.0	1027082.0	3016757.0	4087773.0
10_Fasting_IC_right_S2	15520613.0	23327671.0	750679.0	1658211.0	2368894.0
10_Fasting_PFC_right_S62	19935989.0	21115607.0	900735.0	1500548.0	1677769.0
10_Fasting_SC_right_S88	2994.0	3728.0	135.0	363.0	14479.0
11_Fasting_Hip_right_S35	55087.0	72320.0	2393.0	5971.0	285798.0
11_Fasting_Hyp_both_S30	21033483.0	21170635.0	1019385.0	2818176.0	3178513.0
11_Fasting_IC_right_S16	15154615.0	20354083.0	705849.0	1678912.0	2142904.0
11_Fasting_PFC_right_S82	15828834.0	19890645.0	725019.0	1678945.0	2244430.0
11_Fasting_SC_right_S40	17743691.0	20672426.0	831187.0	1905647.0	2145698.0
12_Fasting_Hip_right_S77	34709456.0	43534679.0	1535129.0	3606624.0	4853458.0
12_Fasting_Hyp_both_S23	121967.0	158947.0	5184.0	13185.0	349866.0
12_Fasting_IC_right_S37	16127693.0	20993582.0	784273.0	1700235.0	2384250.0
12_Fasting_PFC_right_S52	18835119.0	17964200.0	852575.0	2026026.0	2350558.0
12_Fasting_SC_right_S12	14026495.0	17679073.0	650157.0	1744636.0	2324188.0
13_Highfatdiet_Hip_left_S73	18337536.0	23481424.0	825908.0	1784496.0	1916786.0
13_Highfatdiet_Hyp_both_S57	16471094.0	22458572.0	735867.0	1722666.0	2187314.0
13_Highfatdiet_IC_left_S81	15495641.0	21219100.0	741012.0	1654491.0	2281402.0
13_Highfatdiet_PFC_left_S7	18201527.0	21610110.0	822609.0	2115468.0	2151925.0
13_Highfatdiet_SC_left_S10	8536805.0	11832396.0	397440.0	945629.0	1135708.0
142_2_HIPL_chow_S67	28204495.0	26135768.0	1275483.0	2680617.0	5710549.0
142_2_Hyp_chow_S19	4596549.0	1281337.0	752548.0	6128358.0	18088253.0
