Sample	total	total_yield	perfectIndex	yieldQ30	qscore_sum	R1_yield	R1_Q30	R1_trimmed_bases	R2_yield	R2_Q30	R2_trimmed_bases	percent_Q30	percent_perfectIndex	mean_qscore
1-144_1_HIPL_chow	26591833	3244203626	26073166	2859191331	113316426648	1622101813	1532351212	0	1622101813	1326840119	0	88.13230181008373	98.04952520572763	34.92888847661993
1-1_Chow_PFC_left	59211054	6039527508	58780818	5765492935	218848276173	3019763754	2900223026	0	3019763754	2865269909	0	95.46264881421581	99.27338567558685	36.2359929453276
10-13_Highfatdiet_SC_left	22847978	2330493756	21648230	2227823787	84491763298	1165246878	1119875193	0	1165246878	1107948594	0	95.59449714311957	94.74899704472755	36.2548764957944
10-144_5_Hyp_fast	48877298	5963030356	47858525	5218565601	207651687161	2981515178	2846386673	0	2981515178	2372178928	0	87.51532843949185	97.91565196586767	34.82318129607724
11-144_2_ZIL_chow	12355717	1507397474	12160503	1349344229	53057511368	753698737	720863479	0	753698737	628480750	0	89.51482620037878	98.42005122001419	35.198089610172715
11-5_Chow_PFC_right	54260063	5534526426	53781742	5266791430	200233092731	2767263213	2656500616	0	2767263213	2610290814	0	95.16245880149312	99.11846582264381	36.17890264112726
12-12_Fasting_SC_right	36424549	3715303998	36116074	3532632800	134324299921	1857651999	1785583997	0	1857651999	1747048803	0	95.08327722042841	99.15311236935288	36.154322766941455
12-143_5_Hyp_fast	17175470	2095407340	16903983	1839424427	73195485832	1047703670	986041774	0	1047703670	853382653	0	87.78362048688825	98.41933292072939	34.931387532507166
13-143_3_SCL_fast	66168963	8072613486	65349058	6937503019	279214067237	4036306743	3690625174	0	4036306743	3246877845	0	85.93874872160578	98.76089187010533	34.587815671000406
13-18_Highfatdiet_Hyp_both	36837619	3757437138	36548691	3578708528	135997151792	1878718569	1804763557	0	1878718569	1773944971	0	95.24333732180193	99.21567134944308	36.19412562265466
14-143_5_SCL_fast	93149523	11364241806	91560775	10118277269	398780075480	5682120903	5422950149	0	5682120903	4695327120	0	89.03609621944013	98.2944110191525	35.090777043256445
14-2_Chow_IC_left	39228762	4001333724	38867780	3813266809	144881448795	2000666862	1921156366	0	2000666862	1892110443	0	95.29989428594834	99.07980272229851	36.208289232662864
15-144_4_HIPL_fast	44623222	5444033084	43733830	4702591577	188389453412	2722016542	2522330420	0	2722016542	2180261157	0	86.3806575830868	98.00688529393955	34.60475910142357
15-5_Chow_IC_right	36335800	3706251600	36054072	3527600720	134112901999	1853125800	1779145457	0	1853125800	1748455263	0	95.17974224955478	99.22465447299909	36.18559031421396
16-11_Fasting_IC_right	40036363	4083709026	39532359	3899384202	147994742958	2041854513	1961367420	0	2041854513	1938016782	0	95.48633796319845	98.74113440324237	36.24027618416318
16-142_4_SCL_fast	28119829	3430619138	27376255	2929040241	117941408334	1715309569	1617591049	0	1715309569	1311449192	0	85.37934766805932	97.3556951573212	34.37904459506924
17-145_5_Hyp_fast	77121990	9408882780	75794908	8405775430	330791368395	4704441390	4487895386	0	4704441390	3917880044	0	89.33871987296668	98.27924305376456	35.15734823460092
17-1_Chow_Hip_left	39873622	4067109444	39553602	3882738701	147383584507	2033554722	1952690018	0	2033554722	1930048683	0	95.46678677968717	99.19741427051699	36.23791946991432
18-143_4_ZIL_fast	43691686	5330385692	42955854	4650992273	185489582630	2665192846	2503577959	0	2665192846	2147414314	0	87.25432908129605	98.31585350128168	34.79852928998895
18-15_Highfatdiet_Hyp_both	47384219	4833190338	46999264	4610595899	175058518646	2416595169	2322021915	0	2416595169	2288573984	0	95.39446155782662	99.18758817149651	36.2200754374677
19-142_2_Hyp_chow	30847045	3763339490	30434912	3305611950	131591459182	1881669745	1744142510	0	1881669745	1561469440	0	87.83719775438065	98.66394657899971	34.96667242795042
19-7_Fasting_IC_left	39129520	3991211040	38749745	3804129714	144517147442	1995605520	1916053280	0	1995605520	1888076434	0	95.3126676558802	99.02944119938093	36.208846386133466
2-10_Fasting_IC_right	43626068	4449858936	43296313	4232433931	160980731189	2224929468	2136131883	0	2224929468	2096302048	0	95.11388994286986	99.24413311784139	36.17659200084809
2-145_1_Hyp_chow	24239261	2957189842	23461979	2537991105	101696134887	1478594921	1404478287	0	1478594921	1133512818	0	85.82442252958342	96.79329332688815	34.38945090458619
20-142_3_ZIL_chow	48467869	5913080018	47811014	5166125712	205735224762	2956540009	2784929342	0	2956540009	2381196370	0	87.36776259197919	98.64476195559578	34.79324212351628
20-9_Fasting_SC_left	38549288	3932027376	38281449	3743297949	142285786438	1966013688	1888779217	0	1966013688	1854518732	0	95.20020058476825	99.30520376926287	36.186367192271554
21-142_2_SCL_chow	873453	106561266	859216	95179620	3750967318	53280633	50654930	0	53280633	44524690	0	89.31915279610135	98.3700325031799	35.20010092597811
21-1_Chow_SC_left	73693043	7516690386	73063980	7164990580	272147423186	3758345193	3609549017	0	3758345193	3555441563	0	95.32108164711627	99.14637396640006	36.20575136271151
22-145_3_ICL_fast	38605462	4709866364	38103219	4144751363	164388644690	2354933182	2220501642	0	2354933182	1924249721	0	88.00146421734016	98.69903642132297	34.903038002629835
22-6_Chow_IC_right	47532489	4848313878	47218095	4601144195	175203714587	2424156939	2328805596	0	2424156939	2272338599	0	94.90194551715037	99.33857029872767	36.13704042182889
23-12_Fasting_Hyp_both	649149	66213198	609647	50194769	2095356164	33106599	30974084	0	33106599	19220685	0	75.80780043277777	93.91480230270707	31.64559675851935
