Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
10_Fasting_Hip_right_S3_R1_001	10_Fasting_Hip_right_S3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36447984.0	1.8 Gbp	0.0	51.0	46.0	68.40468994139172	51.0	51	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	pass
10_Fasting_Hip_right_S3_R2_001	10_Fasting_Hip_right_S3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36447984.0	1.8 Gbp	0.0	51.0	46.0	68.41037048638442	51.0	51	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
10_Fasting_Hyp_both_S24_R1_001	10_Fasting_Hyp_both_S24_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57308405.0	2.9 Gbp	0.0	51.0	47.0	59.06907471497157	51.0	51	pass	pass	fail	pass	warn	pass	pass	pass	warn	warn	pass
10_Fasting_Hyp_both_S24_R2_001	10_Fasting_Hyp_both_S24_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57308405.0	2.9 Gbp	0.0	51.0	47.0	59.344040601396976	51.0	51	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
10_Fasting_IC_right_S2_R1_001	10_Fasting_IC_right_S2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43626068.0	2.2 Gbp	0.0	51.0	47.0	66.21825737948623	51.0	51	pass	pass	fail	pass	warn	pass	pass	pass	warn	warn	pass
10_Fasting_IC_right_S2_R2_001	10_Fasting_IC_right_S2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43626068.0	2.2 Gbp	0.0	51.0	46.0	66.50975528536665	51.0	51	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
10_Fasting_PFC_right_S62_R1_001	10_Fasting_PFC_right_S62_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45130648.0	2.3 Gbp	0.0	51.0	46.0	64.42625035104732	51.0	51	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
10_Fasting_PFC_right_S62_R2_001	10_Fasting_PFC_right_S62_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45130648.0	2.3 Gbp	0.0	51.0	46.0	63.92033615683981	51.0	51	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
10_Fasting_SC_right_S88_R1_001	10_Fasting_SC_right_S88_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21699.0	1.1 Mbp	0.0	51.0	35.0	97.5114060555786	51.0	51	pass	pass	fail	warn	fail	warn	pass	pass	pass	pass	pass
10_Fasting_SC_right_S88_R2_001	10_Fasting_SC_right_S88_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21699.0	1.1 Mbp	0.0	51.0	35.0	97.56209963592792	51.0	51	pass	pass	fail	pass	fail	warn	pass	pass	pass	warn	pass
11_Fasting_Hip_right_S35_R1_001	11_Fasting_Hip_right_S35_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	421569.0	21.5 Mbp	0.0	51.0	49.0	35.00309783155732	51.0	51	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
11_Fasting_Hip_right_S35_R2_001	11_Fasting_Hip_right_S35_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	421569.0	21.5 Mbp	0.0	51.0	66.0	75.14340529893823	51.0	51	pass	fail	warn	pass	fail	fail	pass	pass	pass	fail	fail
11_Fasting_Hyp_both_S30_R1_001	11_Fasting_Hyp_both_S30_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49220192.0	2.5 Gbp	0.0	51.0	48.0	59.60926607446202	51.0	51	pass	pass	fail	pass	warn	pass	pass	pass	warn	warn	pass
