Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
10_Fasting_Hip_right_S3	36447984.0	102.0	33602427.0	92.19	101.72	3315827.0	3280080.0	3275792.0	26690.0	3835.0	9510.0	0.15	0.01	1.44	0.0	1.13	1328963.0	3.65	89462.0	0.25	0.0	3.0	0.91	0	1094986	332146
10_Fasting_Hyp_both_S24	57308405.0	102.0	50203875.0	87.6	101.69	5711106.0	5652951.0	5647369.0	46649.0	5930.0	11158.0	0.16	0.01	1.43	0.0	1.14	3016757.0	5.26	170209.0	0.3	0.0	5.96	0.88	0	3413550	504014
10_Fasting_IC_right_S2	43626068.0	102.0	39598963.0	90.77	101.69	3806448.0	3764367.0	3760883.0	31338.0	4406.0	9821.0	0.18	0.01	1.45	0.01	1.12	1658211.0	3.8	117025.0	0.27	0.0	4.19	0.97	0	1828553	423316
10_Fasting_PFC_right_S62	45130648.0	102.0	41952331.0	92.96	101.71	5241570.0	5195091.0	5184454.0	42126.0	6124.0	8866.0	0.16	0.01	1.43	0.0	1.13	1500548.0	3.32	112594.0	0.25	0.0	2.64	0.83	0	1190796	374379
10_Fasting_SC_right_S88	21699.0	102.0	6857.0	31.6	101.22	733.0	718.0	720.0	7.0	0.0	6.0	1.06	0.01	1.6	0.01	1.41	363.0	1.67	20.0	0.09	0.0	66.41	0.22	0	14411	48
11_Fasting_Hip_right_S35	421569.0	102.0	129800.0	30.79	101.65	13314.0	13182.0	13166.0	114.0	8.0	26.0	0.24	0.01	1.34	0.0	1.08	5971.0	1.42	353.0	0.08	0.0	67.41	0.3	0	284180	1265
11_Fasting_Hyp_both_S30	49220192.0	102.0	43223503.0	87.82	101.68	5753612.0	5700163.0	5692229.0	47007.0	6025.0	8351.0	0.17	0.01	1.47	0.01	1.14	2818176.0	5.73	140848.0	0.29	0.0	5.36	0.81	0	2638879	398786
11_Fasting_IC_right_S16	40036363.0	102.0	36214547.0	90.45	101.7	3832797.0	3794038.0	3790013.0	31846.0	4306.0	6632.0	0.16	0.01	1.45	0.0	1.13	1678912.0	4.19	112048.0	0.28	0.0	4.08	0.99	0	1634298	396558
11_Fasting_PFC_right_S82	40367873.0	102.0	36444498.0	90.28	101.71	4091113.0	4048878.0	4043399.0	33202.0	4607.0	9905.0	0.16	0.01	1.47	0.0	1.14	1678945.0	4.16	105280.0	0.26	0.0	4.4	0.9	0	1775898	363252
11_Fasting_SC_right_S40	43298649.0	102.0	39247304.0	90.64	101.69	4629410.0	4584855.0	4577846.0	39005.0	5088.0	7471.0	0.18	0.01	1.44	0.0	1.14	1905647.0	4.4	119079.0	0.28	0.0	3.81	0.87	0	1649876	376743
