comparison,module,coef,pvalue,pvalue_bh
chow.vs.fast,HY__50,0.20788818263615058,4.138570316790855e-6,0.00125812537630442
chow.vs.fast,HY__71,-0.1516079966357179,5.9284075421101815e-5,0.009011179464007476
chow.vs.fast,IC__15,0.18669571270537227,1.4002578156468607e-4,0.01386996102386653
chow.vs.fast,IC__32,-0.17682801728054082,2.418786413355283e-4,0.01386996102386653
chow.vs.fast,SC__78,0.18925718246474948,2.4228430045565376e-4,0.01386996102386653
chow.vs.fast,HPF__33,0.12701617825943395,2.7374923073420783e-4,0.01386996102386653
chow.vs.fast,IC__07,-0.1461870168089193,6.374605296417322e-4,0.027684000144440946
chow.vs.fast,IC__08,0.14977741502280412,0.0013215578745851722,0.04953601608010043
chow.vs.fast,SC__32,-0.17492720141170676,0.0014665267918450783,0.04953601608010043
chow.vs.fast,HY__34,0.03783314494073399,0.0030738557813782055,0.09344521575389744
chow.vs.fast,SC__27,-0.053785382698183636,0.003651345757545233,0.09462823730412988
chow.vs.fast,ZI__18,-0.1345989385104915,0.003735325156741969,0.09462823730412988
chow.vs.fast,IC__34,-0.15793223230378767,0.005432756744474489,0.12704292694771113
chow.vs.fast,SC__67,0.12943594706090836,0.007532937415549819,0.1635723553090818
chow.vs.fast,HY__25,0.0846732268734616,0.0216848525564404,0.4394796784771921
chow.vs.fast,ZI__44,0.17202765527703295,0.025682373716577698,0.4879651006149763
chow.vs.fast,SC__45,0.028650040188702316,0.033316589678730885,0.5708086145505616
chow.vs.fast,HPF__12,-0.19076271455136382,0.035168424379522265,0.5708086145505616
chow.vs.fast,SC__08,0.04607534538921123,0.0356755384094101,0.5708086145505616
chow.vs.fast,HPF__25,-0.0896641084576006,0.04211364663676039,0.640127428878758
chow.vs.fast,HPF__11,-0.15827655402663368,0.050220043202169745,0.6523308002556762
chow.vs.fast,ZI__36,0.03996146500940319,0.05162777346223332,0.6523308002556762
chow.vs.fast,HY__56,-0.07544847008369746,0.05274047467611441,0.6523308002556762
chow.vs.fast,SC__18,0.06065196444500759,0.05603980319133533,0.6523308002556762
chow.vs.fast,HY__59,0.052838024147148895,0.05620539977282259,0.6523308002556762
chow.vs.fast,HY__19,0.12841072321100633,0.05780137084161094,0.6523308002556762
chow.vs.fast,ZI__22,0.04272071752141219,0.06197515574920741,0.6523308002556762
chow.vs.fast,ZI__34,0.062386248075753915,0.0628778056771583,0.6523308002556762
chow.vs.fast,HY__58,0.05820559699027175,0.06318808393049004,0.6523308002556762
chow.vs.fast,SC__13,0.09415231439160109,0.06437475002523121,0.6523308002556762
chow.vs.fast,SC__69,-0.03629349548176642,0.07575160393768184,0.6978202056529692
chow.vs.fast,HY__31,0.1403532259425287,0.07617565402636074,0.6978202056529692
