comparison,module,coef,pvalue,pvalue_bh
chow.vs.fast,HY__50,0.13361297322417695,4.625723489014674e-6,0.002368370426375513
chow.vs.fast,HY__71,-0.09588819335139367,3.1881992037670586e-5,0.007003391798234872
chow.vs.fast,IC__15,0.12754064422288153,4.103549881778245e-5,0.007003391798234872
chow.vs.fast,IC__08,0.11770890908927908,5.8894588055898636e-5,0.007538507271155025
chow.vs.fast,IC__32,-0.11861996054372963,9.705455627241315e-5,0.009938386562295107
chow.vs.fast,IC__07,-0.10337021395297365,1.5110126251763196e-4,0.010741811573329442
chow.vs.fast,SC__78,0.1274073497860421,1.5885077060192896e-4,0.010741811573329442
chow.vs.fast,SC__27,-0.0470163720031108,1.6784080583327253e-4,0.010741811573329442
chow.vs.fast,SC__32,-0.1277611236510935,1.889655645853115e-4,0.010750041007519943
chow.vs.HFD,HPF__17,-0.0398960508248558,8.164698416426484e-4,0.0418032558921036
chow.vs.HFD,HPF__05,-0.12361807488855883,0.002018091869439929,0.0939330033775676
chow.vs.HFD,HPF__38,0.09316462116405311,0.0030944185643256386,0.12662936009426937
chow.vs.fast,IC__17,-0.06582372318968707,0.0034362214194269183,0.12662936009426937
chow.vs.fast,HY__19,0.1395362110490353,0.0035986137477974633,0.12662936009426937
chow.vs.HFD,HY__55,-0.017673286284472307,0.0039478413814294875,0.12662936009426937
chow.vs.fast,SC__67,0.08678829564753295,0.003957167502945918,0.12662936009426937
chow.vs.HFD,HPF__20,0.07164293296149014,0.004848486843745163,0.14257926158702067
chow.vs.HFD,HPF__26,-0.09576957208961596,0.0050125521651686955,0.14257926158702067
chow.vs.HFD,IC__33,-0.04577813364161702,0.005833586442045622,0.15719980306986098
chow.vs.HFD,HPF__33,-0.08177072599952143,0.006827636045128726,0.1747874827552954
chow.vs.fast,IC__34,-0.1009264220139245,0.007355827869343867,0.17934208900495524
chow.vs.HFD,HY__41,0.016509560025158077,0.007729261328832691,0.1798809909255608
chow.vs.HFD,HY__59,0.03599000984500282,0.008358799114307106,0.18607413680544513
chow.vs.HFD,HPF__11,0.0942344018496984,0.009650646855641492,0.20588046625368517
chow.vs.fast,HPF__33,0.0741037833153551,0.01064172591081535,0.21794254665349835
chow.vs.fast,HPF__25,-0.060351373583219056,0.012901308334123389,0.24105704117694615
chow.vs.fast,SC__08,0.05414504252228753,0.01290507682038756,0.24105704117694615
chow.vs.fast,HY__20,0.016432947143926138,0.013182806939364243,0.24105704117694615
chow.vs.HFD,HY__26,-0.16537244907697426,0.013740594893608885,0.24259257191474998
chow.vs.HFD,HPF__24,0.07527914528671921,0.015001913355433988,0.25108668544202195
chow.vs.HFD,HPF__32,0.06501476738132199,0.015202514157622424,0.25108668544202195
chow.vs.fast,HY__35,0.1363584016020557,0.017579909836718043,0.2812785573874887
chow.vs.fast,IC__03,-0.063443061113775,0.018310338906626818,0.2840876824300888
chow.vs.HFD,HY__49,-0.2501400170440469,0.02080343902370724,0.2990843123198071
chow.vs.fast,HY__06,0.09807859256844823,0.021577582381565766,0.2990843123198071
chow.vs.HFD,HPF__27,-0.10642396554474355,0.021937828221800564,0.2990843123198071
chow.vs.fast,HY__53,0.07924573863239347,0.022017910602092267,0.2990843123198071
chow.vs.HFD,HY__42,-0.1790974883215344,0.02219766380498568,0.2990843123198071
chow.vs.fast,HY__52,-0.06483739492649353,0.02517276420303766,0.33047321210141745
chow.vs.fast,HY__34,0.0194536410078349,0.028726531302362624,0.3582894007261583
chow.vs.HFD,HY__34,0.01858341068084453,0.03020899941856917,0.3582894007261583
chow.vs.HFD,SC__60,0.022264226101507696,0.03067219210912139,0.3582894007261583
chow.vs.fast,SC__45,0.028647426946812767,0.030950394066420812,0.3582894007261583
chow.vs.HFD,HY__20,-0.021738189905802164,0.0311588716960833,0.3582894007261583
chow.vs.HFD,SC__45,0.03784770907097517,0.0314902793606975,0.3582894007261583
chow.vs.HFD,HY__05,0.08976407722202388,0.03400616460062493,0.37850339729391225
chow.vs.HFD,SC__15,0.10303929520942837,0.03673437708075182,0.4001702354328709
chow.vs.fast,IC__13,0.025092613876269664,0.037752752376781926,0.4015479414304099
chow.vs.fast,SC__60,0.04754333079736057,0.038750030487197995,0.4015479414304099
chow.vs.fast,HY__67,0.05534960883011806,0.039213666155313465,0.4015479414304099
chow.vs.HFD,HY__54,0.12807257727985683,0.041915002805434066,0.42079375365455374
chow.vs.fast,HY__46,-0.04213873561578502,0.0482857038368976,0.46279675460045494
chow.vs.fast,HY__31,0.12476534223797177,0.048527574698889756,0.46279675460045494
chow.vs.fast,HPF__12,-0.0998968527481734,0.048810595211766734,0.46279675460045494
chow.vs.fast,HY__78,-0.057973926118318427,0.051868290230591675,0.48284662905568976
chow.vs.HFD,HPF__25,-0.06682324613554155,0.0583630192837779,0.5285656495821658
chow.vs.HFD,HY__37,-0.035226418472084166,0.05884422270738955,0.5285656495821658
chow.vs.HFD,IC__47,-0.08546392715372898,0.06151566116472789,0.5364625083448954
chow.vs.fast,SC__90,-0.10424688906437342,0.06266440703109474,0.5364625083448954
chow.vs.fast,HY__77,-0.08550763569985875,0.06286670019666743,0.5364625083448954
chow.vs.HFD,HPF__30,-0.03240629462474027,0.06404966248691074,0.5375971671032508
chow.vs.HFD,HY__39,-0.037552829070366965,0.0657748235624201,0.5431727365154693
chow.vs.fast,SC__28,-0.1346986014152507,0.07279790350282847,0.5840272902327523
chow.vs.fast,SC__52,0.07521108483019977,0.07300341127909404,0.5840272902327523
chow.vs.fast,HPF__26,-0.05791413137142154,0.07551488053001987,0.5948249050980027
chow.vs.fast,HY__59,0.02962016421991042,0.07998743702797587,0.5956497012646743
chow.vs.fast,SC__51,-0.13325328484747426,0.08062661453757962,0.5956497012646743
chow.vs.HFD,IC__29,-0.09282374653103197,0.08207424779630307,0.5956497012646743
chow.vs.fast,SC__11,0.10387034562611647,0.08239858193616124,0.5956497012646743
chow.vs.HFD,HY__52,-0.07470845629124069,0.08246875823040649,0.5956497012646743
chow.vs.HFD,IC__15,-0.015059697325946763,0.08259986091756226,0.5956497012646743
chow.vs.HFD,SC__81,-0.08191536513860724,0.08791623626390056,0.606759590800034
chow.vs.HFD,SC__62,-0.09311113575881534,0.08794896224142312,0.606759590800034
chow.vs.fast,HY__66,-0.013126639652917937,0.08870341510600842,0.606759590800034
chow.vs.HFD,HY__15,0.10730668216777814,0.08888079943359874,0.606759590800034
chow.vs.HFD,SC__30,-0.04796463352809109,0.09369175735397461,0.6311865758583552
chow.vs.fast,SC__76,-0.11607041659850977,0.09727220174355893,0.6340383376311753
chow.vs.HFD,SC__48,0.12556036919970628,0.09729595236642066,0.6340383376311753
chow.vs.fast,SC__85,0.014894831703342201,0.09783013412668526,0.6340383376311753
chow.vs.fast,HPF__11,-0.08005117479361495,0.10398783015662257,0.6655221130023845
chow.vs.fast,HY__54,-0.06666495474746133,0.10922332523110828,0.6749641150421742
