index,old_name,region,module,row_number,new_name
1,HPF__bisque2,HPF,bisque2,01,HPF__01
2,HPF__blanchedalmond,HPF,blanchedalmond,02,HPF__02
3,HPF__blue4,HPF,blue4,03,HPF__03
4,HPF__cadetblue4,HPF,cadetblue4,04,HPF__04
5,HPF__chocolate,HPF,chocolate,05,HPF__05
6,HPF__cornflowerblue,HPF,cornflowerblue,06,HPF__06
7,HPF__cyan3,HPF,cyan3,07,HPF__07
8,HPF__darkblue,HPF,darkblue,08,HPF__08
9,HPF__darkorange1,HPF,darkorange1,09,HPF__09
10,HPF__dodgerblue1,HPF,dodgerblue1,10,HPF__10
11,HPF__dodgerblue4,HPF,dodgerblue4,11,HPF__11
12,HPF__ivory3,HPF,ivory3,12,HPF__12
13,HPF__lavenderblush,HPF,lavenderblush,13,HPF__13
14,HPF__lightskyblue1,HPF,lightskyblue1,14,HPF__14
15,HPF__lightyellow3,HPF,lightyellow3,15,HPF__15
16,HPF__magenta2,HPF,magenta2,16,HPF__16
17,HPF__maroon1,HPF,maroon1,17,HPF__17
18,HPF__mediumblue,HPF,mediumblue,18,HPF__18
19,HPF__mediumorchid1,HPF,mediumorchid1,19,HPF__19
20,HPF__mintcream,HPF,mintcream,20,HPF__20
21,HPF__mistyrose3,HPF,mistyrose3,21,HPF__21
22,HPF__navy,HPF,navy,22,HPF__22
23,HPF__orangered,HPF,orangered,23,HPF__23
24,HPF__paleturquoise,HPF,paleturquoise,24,HPF__24
25,HPF__paleturquoise1,HPF,paleturquoise1,25,HPF__25
26,HPF__plum,HPF,plum,26,HPF__26
27,HPF__plum2,HPF,plum2,27,HPF__27
28,HPF__red4,HPF,red4,28,HPF__28
29,HPF__rosybrown4,HPF,rosybrown4,29,HPF__29
30,HPF__salmon1,HPF,salmon1,30,HPF__30
31,HPF__seagreen,HPF,seagreen,31,HPF__31
32,HPF__seagreen4,HPF,seagreen4,32,HPF__32
33,HPF__snow2,HPF,snow2,33,HPF__33
34,HPF__springgreen4,HPF,springgreen4,34,HPF__34
35,HPF__steelblue2,HPF,steelblue2,35,HPF__35
36,HPF__steelblue3,HPF,steelblue3,36,HPF__36
37,HPF__turquoise1,HPF,turquoise1,37,HPF__37
38,HPF__turquoise4,HPF,turquoise4,38,HPF__38
39,HY__aliceblue,HY,aliceblue,01,HY__01
40,HY__blue,HY,blue,02,HY__02
41,HY__brown2,HY,brown2,03,HY__03
42,HY__brown4,HY,brown4,04,HY__04
43,HY__burlywood4,HY,burlywood4,05,HY__05
44,HY__cadetblue,HY,cadetblue,06,HY__06
