GSM,filename,name,seq_run,seq_sample,rna_conc_qbit,box_id,animal_id,diet,diet_kcal,region,hemisphere,experiment_start,time_of_euthanasia,experiment_duration,bw_i_pre,bw_i,bw_f,bw_change,bw_change_pct,bw_change_pct_ph,fw_i,fw_f,kcal_intake,power_intake,notes
GSM7517799,1_Chow_Hyp_both_S80,S0010_01_chow_HY,10.0,S80,73.6,34,1,chow,3227,HY,both,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517805,1_Chow_Hyp_both_S80,S0010_01_chow_HY,10.0,S80,73.6,34,1,chow,3227,HY,both,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517811,1_Chow_Hyp_both_S80,S0010_01_chow_HY,10.0,S80,73.6,34,1,chow,3227,HY,both,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517817,1_Chow_Hyp_both_S80,S0010_01_chow_HY,10.0,S80,73.6,34,1,chow,3227,HY,both,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517823,1_Chow_Hyp_both_S80,S0010_01_chow_HY,10.0,S80,73.6,34,1,chow,3227,HY,both,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517800,2_Chow_Hyp_both_S44,S0010_02_chow_HY,10.0,S44,27.2,34,2,chow,3227,HY,both,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,,25.9,26.0,0.1000000000000014,0.0038610038610039,0.00023882498109302567,741.7,734.4,11778.55000000011,728.5701030927903,
GSM7517806,2_Chow_Hyp_both_S44,S0010_02_chow_HY,10.0,S44,27.2,34,2,chow,3227,HY,both,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,,25.9,26.0,0.1000000000000014,0.0038610038610039,0.00023882498109302567,741.7,734.4,11778.55000000011,728.5701030927903,
GSM7517812,2_Chow_Hyp_both_S44,S0010_02_chow_HY,10.0,S44,27.2,34,2,chow,3227,HY,both,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,,25.9,26.0,0.1000000000000014,0.0038610038610039,0.00023882498109302567,741.7,734.4,11778.55000000011,728.5701030927903,
GSM7517818,2_Chow_Hyp_both_S44,S0010_02_chow_HY,10.0,S44,27.2,34,2,chow,3227,HY,both,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,,25.9,26.0,0.1000000000000014,0.0038610038610039,0.00023882498109302567,741.7,734.4,11778.55000000011,728.5701030927903,
GSM7517824,2_Chow_Hyp_both_S44,S0010_02_chow_HY,10.0,S44,27.2,34,2,chow,3227,HY,both,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,,25.9,26.0,0.1000000000000014,0.0038610038610039,0.00023882498109302567,741.7,734.4,11778.55000000011,728.5701030927903,
GSM7517801,3_Chow_Hyp_both_S78,S0010_03_chow_HY,10.0,S78,6.36,35,3,chow,3227,HY,both,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517807,3_Chow_Hyp_both_S78,S0010_03_chow_HY,10.0,S78,6.36,35,3,chow,3227,HY,both,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517813,3_Chow_Hyp_both_S78,S0010_03_chow_HY,10.0,S78,6.36,35,3,chow,3227,HY,both,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517819,3_Chow_Hyp_both_S78,S0010_03_chow_HY,10.0,S78,6.36,35,3,chow,3227,HY,both,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517825,3_Chow_Hyp_both_S78,S0010_03_chow_HY,10.0,S78,6.36,35,3,chow,3227,HY,both,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517802,4_Chow_Hyp_both_S25,S0010_04_chow_HY,10.0,S25,20.8,35,4,chow,3227,HY,both,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,,23.5,24.0,0.5,0.0212765957446808,0.0013160780872998,743.5,735.3,13230.700000000072,818.3938144329942,
GSM7517808,4_Chow_Hyp_both_S25,S0010_04_chow_HY,10.0,S25,20.8,35,4,chow,3227,HY,both,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,,23.5,24.0,0.5,0.0212765957446808,0.0013160780872998,743.5,735.3,13230.700000000072,818.3938144329942,
GSM7517814,4_Chow_Hyp_both_S25,S0010_04_chow_HY,10.0,S25,20.8,35,4,chow,3227,HY,both,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,,23.5,24.0,0.5,0.0212765957446808,0.0013160780872998,743.5,735.3,13230.700000000072,818.3938144329942,
GSM7517820,4_Chow_Hyp_both_S25,S0010_04_chow_HY,10.0,S25,20.8,35,4,chow,3227,HY,both,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,,23.5,24.0,0.5,0.0212765957446808,0.0013160780872998,743.5,735.3,13230.700000000072,818.3938144329942,
GSM7517826,4_Chow_Hyp_both_S25,S0010_04_chow_HY,10.0,S25,20.8,35,4,chow,3227,HY,both,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,,23.5,24.0,0.5,0.0212765957446808,0.0013160780872998,743.5,735.3,13230.700000000072,818.3938144329942,
GSM7517803,5_Chow_Hyp_both_S84,S0010_05_chow_HY,10.0,S84,20.4,36,5,chow,3227,HY,both,2019-01-29T18:27:00Z,2019-01-30T10:27:00Z,16.0,,24.7,24.4,-0.3000000000000007,-0.0121457489878542,-0.0007591093117408925,713.6,706.4,11617.200000000072,726.0750000000046,
GSM7517809,5_Chow_Hyp_both_S84,S0010_05_chow_HY,10.0,S84,20.4,36,5,chow,3227,HY,both,2019-01-29T18:27:00Z,2019-01-30T10:27:00Z,16.0,,24.7,24.4,-0.3000000000000007,-0.0121457489878542,-0.0007591093117408925,713.6,706.4,11617.200000000072,726.0750000000046,
GSM7517815,5_Chow_Hyp_both_S84,S0010_05_chow_HY,10.0,S84,20.4,36,5,chow,3227,HY,both,2019-01-29T18:27:00Z,2019-01-30T10:27:00Z,16.0,,24.7,24.4,-0.3000000000000007,-0.0121457489878542,-0.0007591093117408925,713.6,706.4,11617.200000000072,726.0750000000046,
GSM7517821,5_Chow_Hyp_both_S84,S0010_05_chow_HY,10.0,S84,20.4,36,5,chow,3227,HY,both,2019-01-29T18:27:00Z,2019-01-30T10:27:00Z,16.0,,24.7,24.4,-0.3000000000000007,-0.0121457489878542,-0.0007591093117408925,713.6,706.4,11617.200000000072,726.0750000000046,
GSM7517827,5_Chow_Hyp_both_S84,S0010_05_chow_HY,10.0,S84,20.4,36,5,chow,3227,HY,both,2019-01-29T18:27:00Z,2019-01-30T10:27:00Z,16.0,,24.7,24.4,-0.3000000000000007,-0.0121457489878542,-0.0007591093117408925,713.6,706.4,11617.200000000072,726.0750000000046,
GSM7517804,6_Chow_Hyp_both_S66,S0010_06_chow_HY,10.0,S66,10.6,36,6,chow,3227,HY,both,2019-01-29T18:27:00Z,2019-01-30T10:33:00Z,16.1,,25.9,27.0,1.1000000000000014,0.0424710424710425,0.0026379529485119,713.6,706.4,11617.200000000072,721.5652173913088,
GSM7517810,6_Chow_Hyp_both_S66,S0010_06_chow_HY,10.0,S66,10.6,36,6,chow,3227,HY,both,2019-01-29T18:27:00Z,2019-01-30T10:33:00Z,16.1,,25.9,27.0,1.1000000000000014,0.0424710424710425,0.0026379529485119,713.6,706.4,11617.200000000072,721.5652173913088,
GSM7517816,6_Chow_Hyp_both_S66,S0010_06_chow_HY,10.0,S66,10.6,36,6,chow,3227,HY,both,2019-01-29T18:27:00Z,2019-01-30T10:33:00Z,16.1,,25.9,27.0,1.1000000000000014,0.0424710424710425,0.0026379529485119,713.6,706.4,11617.200000000072,721.5652173913088,
GSM7517822,6_Chow_Hyp_both_S66,S0010_06_chow_HY,10.0,S66,10.6,36,6,chow,3227,HY,both,2019-01-29T18:27:00Z,2019-01-30T10:33:00Z,16.1,,25.9,27.0,1.1000000000000014,0.0424710424710425,0.0026379529485119,713.6,706.4,11617.200000000072,721.5652173913088,
GSM7517828,6_Chow_Hyp_both_S66,S0010_06_chow_HY,10.0,S66,10.6,36,6,chow,3227,HY,both,2019-01-29T18:27:00Z,2019-01-30T10:33:00Z,16.1,,25.9,27.0,1.1000000000000014,0.0424710424710425,0.0026379529485119,713.6,706.4,11617.200000000072,721.5652173913088,
GSM7517799,1_Chow_Hip_left_S17,S0010_01_chow_HPF,10.0,S17,17.6,34,1,chow,3227,HPF,left,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517805,1_Chow_Hip_left_S17,S0010_01_chow_HPF,10.0,S17,17.6,34,1,chow,3227,HPF,left,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517811,1_Chow_Hip_left_S17,S0010_01_chow_HPF,10.0,S17,17.6,34,1,chow,3227,HPF,left,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517817,1_Chow_Hip_left_S17,S0010_01_chow_HPF,10.0,S17,17.6,34,1,chow,3227,HPF,left,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517823,1_Chow_Hip_left_S17,S0010_01_chow_HPF,10.0,S17,17.6,34,1,chow,3227,HPF,left,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517800,2_Chow_Hip_left_S71,S0010_02_chow_HPF,10.0,S71,38.8,34,2,chow,3227,HPF,left,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,,25.9,26.0,0.1000000000000014,0.0038610038610039,0.00023882498109302567,741.7,734.4,11778.55000000011,728.5701030927903,
GSM7517806,2_Chow_Hip_left_S71,S0010_02_chow_HPF,10.0,S71,38.8,34,2,chow,3227,HPF,left,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,,25.9,26.0,0.1000000000000014,0.0038610038610039,0.00023882498109302567,741.7,734.4,11778.55000000011,728.5701030927903,
