data,run,cell_cluster,module,name,genes,ortholog_ensg,ortholog_name,pkMs,gene_loadings
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000120785,NA,NA,0.836942399136294,0.150147883269524
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000108990,NA,NA,0.835323170928784,0.149857392922591
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000110233,NA,NA,0.780515274207005,0.140024828951973
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000083911,NA,NA,0.779770764034797,0.139891263456253
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000112311,NA,NA,0.776156719712082,0.139242902104674
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000103485,NA,NA,0.753932136672291,0.13525580083771
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00002075044,NA,NA,0.751414600414551,0.134804153579136
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000114298,NA,NA,0.747199380583455,0.13404794104192
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000111892,NA,NA,0.739561664360531,0.132677730947332
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000032315,ENSG00000140465,CYP1A1,0.732068694880176,0.131333488490456
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000060777,NA,NA,0.726073377474765,0.130257925561776
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000110509,NA,NA,0.722802943382218,0.129671208056635
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000049387,ENSG00000170516,COX7B2,0.721275931768926,0.129397261412636
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000118004,NA,NA,0.716843048309905,0.128601999912156
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000098786,NA,NA,0.713676211750529,0.128033867856065
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000114637,NA,NA,0.705148473150503,0.126503987303722
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000073679,NA,NA,0.694952803156373,0.124674879028514
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000085628,NA,NA,0.688856513025517,0.123581201542596
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000059408,NA,NA,0.68479935329008,0.122853345065268
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00002074903,NA,NA,0.680708378818543,0.122119422207441
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000110530,NA,NA,0.675278336179892,0.12114526985347
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000084789,NA,NA,0.671512206691318,0.120469624347385
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000025127,ENSG00000215644,GCGR,0.66576538472291,0.119438641623874
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000092471,NA,NA,0.665608307474613,0.119410461887292
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000120729,NA,NA,0.659246105842003,0.118269079745515
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000065643,ENSG00000252569,RNU6-1153P,0.657308686107121,0.117921505680087
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000082301,NA,NA,0.65157384440779,0.116892672222816
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000118123,NA,NA,0.64953526630789,0.116526950296318
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000118400,NA,NA,0.646116703455292,0.115913658417843
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000081378,NA,NA,0.645631856354347,0.115826676606441
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000044556,ENSG00000186118,TEX38,0.639275079857929,0.114686267736799
